City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Husavik,IS,66.0449,-17.3389,27.18,76,100,7.31,overcast clouds
329,Salalah,OM,17.0151,54.0924,82.49,78,20,8.05,few clouds
330,Tomatlan,MX,19.9333,-105.25,85.3,46,6,1.72,clear sky
331,Verkhnyaya Inta,RU,65.9811,60.3094,14.25,94,100,16.06,light snow
332,Dunedin,NZ,-45.8742,170.5036,51.19,85,100,3.02,overcast clouds
333,Anadyr,RU,64.75,177.4833,-13.0,69,100,9.31,overcast clouds
334,Puerto Santander,CO,8.3636,-72.4063,85.41,79,56,5.17,broken clouds
335,Tshikapa,CD,-6.4167,20.8,73.58,90,100,2.42,overcast clouds
336,Iqaluit,CA,63.7506,-68.5145,25.7,63,76,20.0,broken clouds
337,Neiafu,TO,-18.65,-173.9833,75.88,94,40,0.0,scattered clouds
338,Dargaville,NZ,-35.9333,173.8833,54.63,95,48,3.85,scattered clouds
339,Quelimane,MZ,-17.8786,36.8883,79.11,84,99,6.35,light rain
340,Biak,ID,-0.9131,122.8766,76.8,84,90,1.57,overcast clouds
341,Chesma,RU,53.8111,60.6533,8.53,88,24,6.89,few clouds
342,Santa Cruz De Tenerife,ES,28.4682,-16.2546,74.28,79,40,4.0,scattered clouds
343,Urucara,BR,-2.5364,-57.76,98.42,31,79,3.4,broken clouds
344,Awjilah,LY,29.1081,21.2869,72.93,30,82,7.25,broken clouds
